ground_truth,prob_front,prob_side,confidence_front,confidence_side,weight_front,weight_side,average_score,adaptive_score,average_prediction,adaptive_prediction
0,0.249423086643219,0.604021430015564,0.250576913356781,0.10402143001556396,0.5365734323552693,0.4634265676447308,0.4267222583293915,0.41375337980477256,0,0
0,0.5502168536186218,0.6403452754020691,0.050216853618621826,0.1403452754020691,0.4774831347807603,0.5225168652192396,0.5952810645103455,0.597310474036066,1,1
0,0.2539113759994507,0.6381760835647583,0.24608862400054932,0.1381760835647583,0.5269519852667256,0.47304801473327446,0.4460437297821045,0.4356870330452818,0,0
0,0.7746307253837585,0.6738396883010864,0.27463072538375854,0.17383968830108643,0.5251764492661892,0.47482355073381083,0.7242352068424225,0.726772767274021,1,1
0,0.5638124346733093,0.7306188941001892,0.06381243467330933,0.2306188941001892,0.4583948103714694,0.5416051896285307,0.6472156643867493,0.6541556787624685,1,1
1,0.9187067151069641,0.685560941696167,0.4187067151069641,0.185560941696167,0.5580238478674213,0.4419761521325786,0.8021338284015656,0.8156618432888859,1,1
1,0.7110922336578369,0.6665877103805542,0.21109223365783691,0.1665877103805542,0.5111242947663241,0.4888757052336759,0.6888399720191956,0.6893350534545668,1,1
1,0.803182065486908,0.6718363761901855,0.30318206548690796,0.17183637619018555,0.5327892966404616,0.46721070335953846,0.7375092208385468,0.741815953607343,1,1
1,0.723059356212616,0.7005124688148499,0.22305935621261597,0.20051246881484985,0.5056364830702524,0.4943635169297476,0.7117859125137329,0.7119129976628373,1,1
1,0.878785252571106,0.8249540328979492,0.37878525257110596,0.3249540328979492,0.5134545560239224,0.4865454439760776,0.8518696427345276,0.8525939178954561,1,1
1,0.64246666431427,0.7706958651542664,0.14246666431427002,0.27069586515426636,0.4679865534728364,0.5320134465271636,0.7065812647342682,0.7106863233985804,1,1
1,0.7317054271697998,0.7241522073745728,0.2317054271697998,0.22415220737457275,0.5018882959713639,0.49811170402863614,0.7279288172721863,0.7279430799866964,1,1
1,0.4165538549423218,0.7036128044128418,0.08344614505767822,0.2036128044128418,0.46999443323821904,0.5300055667617809,0.5600833296775818,0.5686966961504861,1,1
1,0.37412136793136597,0.7088066339492798,0.12587863206863403,0.20880663394927979,0.4792798726210763,0.5207201273789238,0.5414640009403229,0.5483987222840631,1,1
1,0.32037052512168884,0.6865093111991882,0.17962947487831116,0.18650931119918823,0.4982800477038617,0.5017199522961382,0.5034399181604385,0.5040696594062577,1,1
1,0.8838993906974792,0.7890576124191284,0.38389939069747925,0.2890576124191284,0.5236926876609059,0.4763073123390942,0.8364785015583038,0.8387255581882578,1,1
1,0.8586785793304443,0.7334803342819214,0.35867857933044434,0.2334803342819214,0.5312587412346506,0.46874125876534944,0.7960794568061829,0.799992996351187,1,1
1,0.8369459509849548,0.8229184150695801,0.33694595098495483,0.3229184150695801,0.5035068264753296,0.4964931735246703,0.8299321830272675,0.829981375161599,1,1
1,0.8765764832496643,0.7971253991127014,0.3765764832496643,0.2971253991127014,0.5198523290222661,0.480147670977734,0.8368509411811829,0.8384282302446456,1,1
1,0.8880201578140259,0.727377712726593,0.3880201578140259,0.22737771272659302,0.5400744681874784,0.45992553181252166,0.8076989352703094,0.8141365958255246,1,1
1,0.37807217240333557,0.7124691009521484,0.12192782759666443,0.21246910095214844,0.4773801321662925,0.5226198678337076,0.545270636677742,0.552834651005514,1,1
1,0.5851002335548401,0.7154406905174255,0.08510023355484009,0.21544069051742554,0.4674609389065248,0.5325390610934752,0.6502704620361328,0.6545116181281898,1,1
1,0.8763408660888672,0.8006218075752258,0.3763408660888672,0.30062180757522583,0.5189207255229304,0.4810792744770695,0.8384813368320465,0.8399139963550377,1,1
1,0.6697567105293274,0.7479467988014221,0.1697567105293274,0.24794679880142212,0.4804624308045026,0.5195375691954974,0.7088517546653748,0.7103793989253928,1,1
1,0.7853537201881409,0.6637464165687561,0.28535372018814087,0.1637464165687561,0.53036441519264,0.46963558480735995,0.7245500683784485,0.7282426030360049,1,1
1,0.6458489298820496,0.631298303604126,0.14584892988204956,0.13129830360412598,0.5036375923902325,0.4963624076097675,0.6385736167430878,0.6386265459905095,1,1
1,0.7714172601699829,0.7785508036613464,0.2714172601699829,0.27855080366134644,0.4982166216897828,0.5017833783102171,0.7749840319156647,0.7749967537224021,1,1
1,0.7725507616996765,0.6759748458862305,0.2725507616996765,0.17597484588623047,0.524125230717911,0.4758747692820891,0.7242628037929535,0.7265927200437465,1,1
1,0.7416949272155762,0.7448654770851135,0.24169492721557617,0.24486547708511353,0.49920736319660647,0.5007926368033935,0.7432802021503448,0.7432827152448584,1,1
1,0.8440265655517578,0.8208702802658081,0.3440265655517578,0.3208702802658081,0.5057888126538179,0.49421118734618197,0.832448422908783,0.8325824703060616,1,1
0,0.21980062127113342,0.5930891633033752,0.2801993787288666,0.09308916330337524,0.5466415555492388,0.4533584444507613,0.40644489228725433,0.3890341340181632,0,0
0,0.6126801371574402,0.5089904069900513,0.11268013715744019,0.00899040699005127,0.5258992319364231,0.47410076806357704,0.5608352720737457,0.5635207564447762,1,1
0,0.5871220827102661,0.624491274356842,0.08712208271026611,0.12449127435684204,0.4906587891125995,0.5093412108874005,0.6058066785335541,0.6061557520334164,1,1
0,0.6434103846549988,0.6286808252334595,0.14341038465499878,0.12868082523345947,0.503682323279245,0.496317676720755,0.6360456049442291,0.63609984394378,1,1
0,0.6846546530723572,0.7643964886665344,0.18465465307235718,0.2643964886665344,0.4800750981223401,0.5199249018776599,0.7245255708694458,0.7261144191192044,1,1
0,0.7635464668273926,0.6407964825630188,0.2635464668273926,0.1407964825630188,0.530649021899031,0.46935097810096904,0.7021714746952057,0.7059336416510302,1,1
